Time,Open,High,Low,Last,Change,%Chg,Volume
04/03/2023,28398.88,28780.57,28350.44,28391.23,-7.65,-0.03%,250972918
03/31/2023,28148.49,28635.38,27598.25,28398.88,250.39,+0.89%,293125441
03/30/2023,28391.5,29148.02,27753.63,28148.49,-242.3,-0.85%,379664037
03/29/2023,27307.12,28620.94,27142.45,28390.79,1083.67,+3.97%,408665026
03/28/2023,27034.28,27453.91,26669.05,27307.12,272.84,+1.01%,3611128
03/27/2023,27591.95,28143.41,26638.59,27034.28,-557.67,-2.02%,3563511
03/24/2023,28297.16,28393.69,27554.22,27591.95,-702.13,-2.48%,513219890
03/23/2023,27283.19,28676.24,27048.65,28294.08,1009.73,+3.70%,634366498
03/22/2023,28087.63,28805.73,26638.2,27284.35,-803.69,-2.86%,594285735
03/21/2023,27966.48,28404.3,27435.46,28088.04,121.56,+0.43%,469213177
03/20/2023,26763.58,28383.21,26754.46,27966.48,1202.9,+4.49%,2108484
03/17/2023,24658.82,26943.99,24611.15,26763.58,2104.76,+8.54%,64017076
03/16/2023,24340.68,25099.04,24210.92,24658.82,318.14,+1.31%,146984238
03/15/2023,24611.75,25031.7,24055.27,24340.68,-263.79,-1.07%,380116562
03/14/2023,24116.8,26203.34,23849.28,24604.47,477.26,+1.98%,357247311
03/13/2023,20027.6,24360.28,19832.93,24127.21,4099.61,+20.47%,2339418
03/10/2023,20280.29,20531.2,19634.86,20027.6,-252.69,-1.25%,194057298
03/09/2023,22035.9,22055.04,20219.09,20280.29,-1755.61,-7.97%,94779994
03/08/2023,22056.15,22279.45,21942.44,22035.9,-20.46,-0.09%,81763962
03/07/2023,22405.39,22537.88,21952.51,22056.36,-349.03,-1.56%,15534379
03/06/2023,22270.47,22588.1,22213.19,22405.39,134.92,+0.61%,75726
03/03/2023,23408.28,23499.13,22231.92,22270.47,-1137.81,-4.86%,175797753
03/02/2023,23501.05,23732.28,23260.24,23408.28,-92.77,-0.39%,70581991
03/01/2023,23245.06,23824.19,23055.51,23501.05,257.12,+1.11%,69613038
02/28/2023,23382.73,23572.68,23123.17,23243.93,-138.79,-0.59%,97625142
02/27/2023,23089.1,23838.03,22921.29,23382.72,293.27,+1.27%,171868
02/24/2023,23937.25,24079.33,22967.04,23089.45,-847.76,-3.54%,119556554
02/23/2023,23822.81,24549.26,23666.2,23937.21,114.4,+0.48%,112549564
02/22/2023,24281.64,24521.41,23630.01,23822.81,-458.76,-1.89%,91164157
02/21/2023,24732.22,25168.79,24261.46,24281.57,-450.65,-1.82%,95300753
02/20/2023,24372.53,25070.09,23909.43,24732.22,360.36,+1.48%,1318124
02/17/2023,24541.68,24900.65,23572.79,24371.86,-170.44,-0.69%,177548573
02/16/2023,24140.27,25105.84,24039.28,24542.3,408.37,+1.69%,218969324
02/15/2023,22230.21,24157.98,22064.65,24133.93,1905.35,+8.57%,87574210
02/14/2023,21631.63,22239.13,21612.08,22228.58,596.81,+2.76%,67885134
02/13/2023,21544.43,22046.49,21457.55,21631.77,87.34,+0.41%,386770
02/10/2023,21856.69,21935.27,21500.71,21544.43,-312.26,-1.43%,12794101
02/09/2023,22938.17,22984.28,21735.85,21856.69,-1079.01,-4.70%,21626998
02/08/2023,23221.74,23348.21,22729.54,22935.7,-288.12,-1.24%,51332224
02/07/2023,22937.92,23264.33,22712.34,23223.82,285.9,+1.25%,63217045
02/06/2023,23368.62,23515.42,22741.24,22937.92,-430.7,-1.84%,512712
02/03/2023,23615.01,23666.17,23285.53,23368.62,-246.39,-1.04%,86539255
02/02/2023,23649.11,24167.8,23563.86,23615.01,-34.1,-0.14%,120735975
02/01/2023,22933.71,23753.18,22885.67,23649.11,715.4,+3.12%,58289539
01/31/2023,22789.82,23165.6,22702.88,22933.71,143.89,+0.63%,50792369
01/30/2023,23086.61,23904.96,22693.08,22789.82,-297.61,-1.29%,827694
01/27/2023,23079.82,23464.88,22626.11,23087.43,7.61,+0.03%,142952
01/26/2023,23533.23,23687.67,22810.75,23079.82,-453.41,-1.93%,86596783
01/25/2023,22926.37,23557.35,22402.09,23533.23,606.86,+2.65%,80224731
01/24/2023,22963,23131.26,22783.04,22926.37,-36.69,-0.16%,667643
01/23/2023,22267.56,23287.24,22243.82,22963.06,695.5,+3.12%,884347
01/20/2023,20896.83,22327.85,20869.77,22267.56,1379.97,+6.61%,60396712
01/19/2023,20791.91,21118.65,20681.76,20887.59,90.49,+0.44%,856978
01/18/2023,21334.84,21601.17,20548.73,20797.1,-537.74,-2.52%,87955918
01/17/2023,21115.75,21403.49,20943.27,21334.84,219.09,+1.04%,73496072
01/16/2023,19816.69,21415.53,19754.21,21115.75,1299.06,+6.56%,906624
01/13/2023,18826.3,19860.85,18690.28,19816.69,990.39,+5.26%,15486338
01/12/2023,17525.46,19025.25,17461.19,18826.3,1298.45,+7.41%,89301857
01/11/2023,17394.81,17545.53,17313.98,17527.85,126.48,+0.73%,47886447
01/10/2023,17176.11,17472.14,17136.67,17401.37,225,+1.31%,57635321
01/09/2023,16895.69,17384.46,16861.43,17176.37,280.68,+1.66%,200798
01/06/2023,16846.9,16984.21,16715.08,16895.69,48.74,+0.29%,36310052
01/05/2023,16818.59,16872.55,16769.17,16846.95,28.28,+0.17%,328841
01/04/2023,16675.19,16956.29,16665.14,16818.67,141.67,+0.85%,31204322
01/03/2023,16729.17,16750.31,16637.59,16677,-52.17,-0.31%,278436
01/02/2023,16581.9,16740.7,16507.8,16729.17,147.27,+0.89%,348031
12/30/2022,16598.87,16635.36,16377.24,16581.9,-16.97,-0.10%,5975390
12/29/2022,16555.02,16639.5,16501.24,16598.87,43.85,+0.26%,49074094
12/28/2022,16730.89,16761.91,16513.13,16555.02,-175.87,-1.05%,46338861
12/27/2022,16844.17,16947.95,16644.49,16730.89,-113.28,-0.67%,49379742
12/26/2022,16811.18,16895.79,16740.89,16844.17,32.99,+0.20%,337600
12/23/2022,16763.31,16865.85,16716.14,16811.18,47.87,+0.29%,7007860
12/22/2022,16826.71,16863.39,16585.97,16763.31,-63.4,-0.38%,58456291
12/21/2022,16855.52,16906.96,16767.25,16826.71,-30.18,-0.18%,82138761
12/20/2022,16594.06,16953.95,16367.36,16856.89,262.83,+1.58%,82244653
12/19/2022,16903.63,16960.86,16541.77,16594.06,-309.57,-1.83%,60442
12/16/2022,17394.26,17488.46,16814.5,16903.63,-490.63,-2.82%,112608449
12/15/2022,17817.24,17844.41,17347.2,17394.26,-422.98,-2.37%,8355919
12/14/2022,17745.7,18304.33,17679.65,17817.24,71.64,+0.40%,90796232
12/13/2022,17145.2,17903.07,17069.41,17745.6,600.4,+3.50%,70986535
12/12/2022,17111.49,17238.66,16897.86,17145.2,33.71,+0.20%,395985
12/09/2022,17157.2,17311.56,17081.58,17111.49,-45.71,-0.27%,6982622
12/08/2022,16831.91,17259.45,16788.97,17157.2,325.29,+1.93%,42479334
12/07/2022,17005.66,17088.22,16762.35,16831.91,-175.47,-1.03%,9677029
12/06/2022,16984.4,17090.65,16937.62,17007.38,23.41,+0.14%,61366016
12/05/2022,16985.69,17371.32,16899.49,16983.97,-6.8,-0.04%,465683
12/02/2022,16915.66,17060.32,16858.66,16990.77,75.25,+0.44%,42747722
12/01/2022,17064.85,17237.67,16895,16915.52,-149.33,-0.88%,58293018
11/30/2022,16482.21,17072.64,16451,17064.85,582.86,+3.54%,69987198
11/29/2022,16207.1,16530.24,16155.65,16481.99,274.89,+1.70%,58456176
11/28/2022,16513.48,16654.69,16029.97,16207.1,-306.38,-1.86%,69594
11/25/2022,16554.08,16619.01,16360.88,16513.48,-40.6,-0.25%,37236232
11/24/2022,16448.7,16790.02,16408.24,16554.08,116.78,+0.71%,5122234
11/23/2022,16148.5,16617.25,16108.91,16437.3,288.8,+1.79%,51919611
11/22/2022,15738.86,16221.83,15675.58,16148.5,428.47,+2.73%,6957508
11/21/2022,16681.95,16783.48,15666.04,15720.03,-965.51,-5.79%,527394
11/18/2022,16689.79,16964.94,16586.18,16685.54,-4.25,-0.03%,39458131
11/17/2022,16550.58,16741.1,16421.28,16689.79,139.21,+0.84%,4437968
11/16/2022,16905.48,16987.13,16403.77,16550.58,-354.89,-2.10%,6129409
11/15/2022,16412.62,17092.11,16362.49,16905.47,492.85,+3.00%,8796707
11/14/2022,16798.68,17161.43,15846.58,16412.62,-385.98,-2.30%,134035
11/11/2022,17858.21,17881.83,16470.27,16798.6,-1059.63,-5.93%,27643717
11/10/2022,15745.23,18131.03,15605.65,17858.23,2113,+13.42%,53337506
11/09/2022,18696.23,18714.25,15712.48,15745.23,-2951.02,-15.78%,157329118
11/08/2022,20671.41,20676.84,17158.04,18696.25,-1965.47,-9.51%,176786372
11/07/2022,21127.18,21444.9,20626.08,20661.72,-465.46,-2.20%,169111
11/04/2022,20239.34,21266.44,20166.16,21127.18,887.84,+4.39%,347696
11/03/2022,20212.56,20412.66,20065.67,20239.34,41.79,+0.21%,14216245
11/02/2022,20481.98,20703.21,20150.7,20197.55,-284.43,-1.39%,123492618
11/01/2022,20423.2,20638.72,20344.19,20481.98,64.9,+0.32%,17378065
10/31/2022,20586.22,20952.09,20302.41,20417.08,-169.14,-0.82%,1551943
10/28/2022,20395.03,20702.5,20056.91,20586.22,191.19,+0.94%,153171595
10/27/2022,20744.04,20889.09,20261.62,20395.03,-349.01,-1.68%,33891500
10/26/2022,20179.19,20978.53,20010.46,20744.04,564.84,+2.80%,39636775
10/25/2022,19366.59,20394.93,19248.86,20179.2,812.61,+4.20%,35438257
10/24/2022,19176.42,19646.9,19105.88,19366.59,190.17,+0.99%,162558
10/21/2022,19057.02,19238.79,18726.03,19176.42,122.52,+0.64%,18777111
10/20/2022,19181.01,19302.98,18959.08,19053.9,-126.37,-0.66%,100572296
10/19/2022,19396.39,19423.24,19129.8,19180.27,-217.48,-1.12%,108818780
10/18/2022,19527.37,19692.61,19149.3,19397.75,-129.62,-0.66%,122383211
10/17/2022,19175.02,19663.79,19049.26,19527.37,352.35,+1.84%,166129
10/14/2022,19382.85,19936.71,19128.15,19175.02,-207.83,-1.07%,39125892
10/13/2022,19169.04,19481.16,18207.2,19382.85,213.81,+1.12%,45731808
10/12/2022,19018.04,19191.41,18981.74,19169.04,151.01,+0.79%,13169535
10/11/2022,19257.87,19306.26,18873.39,19018.03,-239.84,-1.25%,18376707
10/10/2022,19547.08,19640.93,19138.78,19257.87,-289.21,-1.48%,799196
10/07/2022,20048.77,20048.77,19341.45,19547.08,-501.69,-2.50%,22157391
10/06/2022,19932.17,20405.77,19891.97,20048.77,116.6,+0.58%,43273437
10/05/2022,20336.31,20388.4,19774.67,19932.17,-404.14,-1.99%,168100107
10/04/2022,19587.92,20430.17,19508.25,20336.31,747.58,+3.82%,37708689
10/03/2022,19447.12,19639.67,18961.66,19588.73,149.09,+0.77%,376263
09/30/2022,19501.1,20160.58,19219.46,19439.64,-61.46,-0.32%,283123066
09/29/2022,19504.5,19684.83,18903.4,19501.1,-3.87,-0.02%,196417832
09/28/2022,19091.52,19587.39,18547.27,19504.97,413.14,+2.16%,268251172
09/27/2022,19118.2,20345.53,18878.33,19091.83,-26.37,-0.14%,227077686
09/26/2022,18866.26,19352.2,18703.73,19118.2,251.94,+1.34%,1032610
09/23/2022,19213.86,19444.56,18616.28,18866.26,-347.6,-1.81%,180356038
09/22/2022,18969.41,19389.94,18242.79,19213.86,244.45,+1.29%,299273245
09/21/2022,18993.01,19675.39,18835.31,18969.41,-19.42,-0.10%,241285921
09/20/2022,19496,19628.12,18830.71,18988.83,-507.17,-2.60%,175251963
09/19/2022,19737.15,20175.41,18372.45,19496,-241.15,-1.22%,1395968
09/16/2022,19820.43,19873,19419.72,19737.15,-83.3,-0.42%,21518779
09/15/2022,19947.33,20368.11,19700.66,19820.45,-126.88,-0.64%,193879310
09/14/2022,20265.63,20587.78,19652.15,19947.33,-329.78,-1.63%,34608420
09/13/2022,22364.89,22614.93,20116.69,20277.11,-2094.08,-9.36%,212776855
09/12/2022,21213.49,22420.13,21096.01,22371.19,1151,+5.42%,1648866
09/09/2022,19372.9,21304.64,19289.11,21220.19,1847.29,+9.54%,217151006
09/08/2022,19183.34,19406.19,19064.76,19372.9,189.56,+0.99%,142994431
09/07/2022,19011.95,19367.64,18637.76,19183.34,171.39,+0.90%,2335760
09/06/2022,19732.18,20115.32,18790.21,19011.95,-720.23,-3.65%,186376827
09/05/2022,20039.78,20098.97,19674.77,19732.18,-307.6,-1.53%,1204479
09/02/2022,20048.59,20382.15,19815.38,20039.78,-8.81,-0.04%,152288845
09/01/2022,20237.95,20252.13,19639.38,20048.59,-189.36,-0.94%,135573867
08/31/2022,19978.91,20432.46,19780.63,20237.95,259.04,+1.30%,162918755
08/30/2022,20182.87,20530.26,19606.98,19978.91,-203.96,-1.01%,160571441
08/29/2022,20670.12,20675.61,19569.98,20182.87,-487.25,-2.36%,1657364
08/26/2022,21653.56,21782.05,20594.66,20670.12,-983.44,-4.54%,234979926
08/25/2022,21696.66,21766.63,21366.93,21653.56,-43.1,-0.20%,126082651
08/24/2022,21464.27,21781.03,21205.49,21696.66,232.77,+1.08%,131488523
08/23/2022,21109.52,21617.45,20960.3,21463.89,354.37,+1.68%,163101544
08/22/2022,21301.04,21648.44,20849.39,21109.52,-191.52,-0.90%,1818511
08/19/2022,23445.72,23475.24,21236.52,21301.04,-2153.54,-9.18%,316732277
08/18/2022,23422.55,23537.39,23286.94,23454.58,32.03,+0.14%,162720295
08/17/2022,23972.6,24037.78,23393.33,23422.55,-550.05,-2.29%,231979368
08/16/2022,24096.25,24210.99,23751.83,23972.6,-123.65,-0.51%,242526424
08/15/2022,24179.59,25135.87,23984.58,24096.25,-86.49,-0.36%,2343118
08/12/2022,24195.83,24239.86,23697.3,24182.74,-12.56,-0.05%,264478634
08/11/2022,23718.92,24855.27,23631.02,24195.3,476.38,+2.01%,425232600
08/10/2022,23090.72,24087.51,22731.93,23718.92,626.66,+2.71%,265910895
08/09/2022,24113.16,24115.87,22987,23092.26,-1020.9,-4.23%,275385357
08/08/2022,23032.36,24185.64,22899.7,24113.16,1080.8,+4.69%,2351736
08/05/2022,22591.92,23409.48,22489.14,23032.36,442.49,+1.96%,248208109
08/04/2022,23346.61,23402.78,22494.9,22589.87,-756.74,-3.24%,259597874
08/03/2022,23044.4,23552.55,22721.7,23346.61,302.21,+1.31%,267083343
08/02/2022,23047.92,23371.66,22711.57,23044.4,-3.52,-0.02%,346051176
08/01/2022,23867.21,24596.77,22906.25,23047.92,-819.29,-3.43%,2712195
07/29/2022,23897.53,24284.57,23498.35,23867.21,-30.32,-0.13%,557489543
07/28/2022,22757.5,24007.55,22503.96,23897.53,1140.03,+5.01%,890885628
07/27/2022,20948.94,22875.64,20860.68,22757.5,1808.56,+8.63%,336011835
07/26/2022,22166.98,22168.75,20772.43,20948.94,-1218.04,-5.49%,399026497
07/25/2022,22694.24,22961.06,21571.94,22166.98,-527.26,-2.32%,3840026
07/22/2022,23119.92,23675.88,22570.75,22694.24,-425.69,-1.84%,394181433
07/21/2022,23186.69,23709.66,22423.28,23119.93,-66.76,-0.29%,95006155
07/20/2022,23245.75,24234.42,22748.06,23186.69,-70.61,-0.30%,605355699
07/19/2022,21512.1,23587.97,21471.73,23257.3,1745.2,+8.11%,585199707
07/18/2022,20949.66,22719.11,20561.33,21512.1,562.44,+2.68%,628327
07/15/2022,20681.47,21094.5,20394.86,20949.66,268.19,+1.30%,355926116
07/14/2022,19646.39,20849.89,19596.87,20681.47,1035.08,+5.27%,58079254
07/13/2022,19460.24,20077.42,18972.68,19646.39,186.15,+0.96%,401786038
07/12/2022,20453.6,20461.02,19338.81,19460.24,-993.36,-4.86%,353582850
07/11/2022,21852.88,22013.49,20297.48,20453.6,-1399.28,-6.40%,2269616
07/08/2022,21546.39,22426.48,21205.39,21852.88,312.5,+1.45%,66530654
07/07/2022,20376.26,21779.46,20257.09,21540.38,1164.12,+5.71%,332410450
07/06/2022,20418.53,20458.7,19839.63,20376.26,-33.25,-0.16%,397547170
07/05/2022,19795.24,20655.36,19376.5,20409.51,614.27,+3.10%,397448248
07/04/2022,19412.54,19973.87,18964.32,19795.24,382.7,+1.97%,2573162
07/01/2022,18794.88,20501.46,18773.16,19412.54,617.66,+3.29%,582809157
06/30/2022,20212.37,20307.06,18727.66,18794.88,-1417.49,-7.01%,401719691
06/29/2022,20275.39,20412.46,19950.52,20212.37,-63.02,-0.31%,394550804
06/28/2022,20951.44,21156.68,20229.83,20275.39,-676.05,-3.23%,376782952
06/27/2022,21151.55,21778.48,20656.41,20951.44,-200.11,-0.95%,3468167
06/24/2022,20733.66,21333.88,20537.15,21151.55,417.89,+2.02%,512926321
06/23/2022,19973.42,20979.24,19895.51,20733.66,760.24,+3.81%,580960316
06/22/2022,20912.08,21121.98,19834.98,19973.42,-938.22,-4.49%,586984435
06/21/2022,20494.94,21610.27,20319.71,20911.64,416.7,+2.03%,624944957
06/20/2022,20750.43,20876.15,17724.36,20494.94,-248.33,-1.20%,6209151
06/17/2022,20777.65,21189.39,20298.54,20743.27,-34.38,-0.17%,688077629
06/16/2022,21796.72,22834.78,20648.02,20777.65,-1019.07,-4.68%,938252380
06/15/2022,22028.61,22440.37,20179.78,21796.72,-232.43,-1.06%,1265297797
06/14/2022,23333.87,23537.56,20999.19,22029.15,-1294.81,-5.55%,1579069198
06/13/2022,29212.49,29397.1,22789.72,23323.96,-5888.53,-20.16%,14663040
06/10/2022,30220.65,30473.74,28885.67,29212.49,-1008.16,-3.34%,866481
06/09/2022,30254.71,30757.45,30037.9,30220.65,-34.06,-0.11%,5154006
06/08/2022,31236.36,31415.05,29915.96,30254.71,-968.91,-3.10%,827450959
06/07/2022,31479.21,31536.19,29348.01,31223.62,-255.59,-0.81%,721934447
06/06/2022,29603.5,31736.31,29513.77,31479.21,1876.38,+6.34%,59781
06/03/2022,30219.39,30624.55,29389.1,29602.83,-616.52,-2.04%,57919
06/02/2022,29806.45,30410.86,29618.78,30219.35,412.16,+1.38%,753344554
06/01/2022,31646.66,31911.63,29581.29,29807.19,-1839.47,-5.81%,765124743
05/31/2022,31228.83,32186.57,31227.52,31646.66,417.83,+1.34%,784722008
05/30/2022,28830.35,31234.97,28600.56,31228.83,2398.48,+8.32%,6183455
05/27/2022,29511.12,29619.2,28349.78,28830.35,-680.77,-2.31%,765537280
05/26/2022,29718.03,29869.82,28051.31,29511.12,-201.17,-0.68%,823574569
05/25/2022,29387.62,30142.14,29379.86,29712.29,309.18,+1.05%,569524194
05/24/2022,29306.98,29494.55,28822.52,29403.11,96.13,+0.33%,630659163
05/23/2022,29067.1,30596.46,29025.67,29306.98,223.81,+0.77%,773430
05/20/2022,30260.34,30614.63,28762.94,29083.17,-1177.17,-3.89%,561074129
05/19/2022,29285.55,30410.61,28749.94,30260.34,974.79,+3.33%,537832198
05/18/2022,30077.32,30682.8,28860.98,29285.55,-793.12,-2.64%,583580314
05/17/2022,29852.3,30669.07,29580.3,30078.67,226.37,+0.76%,405832684
05/16/2022,29919.28,31307.84,28797.33,29852.3,-66.98,-0.22%,3467699
05/13/2022,28658.2,30920.43,28138.29,29919.28,1261.08,+4.40%,641274198
05/12/2022,28646.64,30060.69,26818.26,28658.2,-17.04,-0.06%,1879559398
05/11/2022,30956.52,31981.58,28530.78,28675.24,-2281.28,-7.37%,1655644221
05/10/2022,31173.1,32525.77,29975.19,30956.52,-216.58,-0.69%,1208377355
05/09/2022,35988.93,36101.82,30352.93,31173.1,-4815.83,-13.38%,10513182
05/06/2022,36533.34,36679.85,35506.26,35988.93,-541.66,-1.48%,1225914102
05/05/2022,39810.29,39886.92,35937.48,36530.59,-3279.7,-8.24%,924148496
05/04/2022,37991.98,39942.52,37680.04,39810.29,1818.24,+4.79%,817106
05/03/2022,38370.94,38922,37609.95,37992.05,-393.18,-1.02%,3595707
05/02/2022,38626.85,39037.15,37605.19,38385.23,-241.62,-0.63%,4872608
04/29/2022,39906.32,39979.31,38319.12,38626.85,-1279.47,-3.21%,597249540
04/28/2022,39081.6,40318.38,38905.25,39906.32,824.72,+2.11%,87241910
04/27/2022,38245.09,39328.11,38053.54,39081.6,836.51,+2.19%,735094951
04/26/2022,40088.64,40623.79,38011.88,38245.09,-1843.55,-4.60%,7305177
04/25/2022,39731.29,40279.7,38362.78,40088.64,371.2,+0.93%,49130
04/22/2022,40756.54,41027.98,39317.8,39717.44,-1024.7,-2.52%,718334345
04/21/2022,41386.57,42806.29,40741.06,40742.14,-644.43,-1.56%,556311820
04/20/2022,41185.29,42096.57,40946.02,41386.57,173.06,+0.42%,374246694
04/19/2022,40634.01,41576.04,40553.86,41213.51,579.5,+1.43%,723553850
04/18/2022,40324.42,40866.57,38739.45,40634.01,309.59,+0.77%,41061
04/15/2022,40000.5,40535.58,39824.16,40324.42,316.02,+0.79%,388418349
04/14/2022,41117.31,41394.65,39724.34,40008.4,-1108.91,-2.70%,525228500
04/13/2022,39584.07,41313.97,39550.1,41117.31,1522.22,+3.84%,8009809
04/12/2022,39914.62,40549.61,39369.57,39595.09,-297.61,-0.75%,940883282
04/11/2022,42734.14,43345.45,39762.86,39892.7,-2841.44,-6.65%,8026075
04/08/2022,43495.18,43951.89,42582.82,42734.14,-761.04,-1.75%,583584984
04/07/2022,43830.89,43944.56,42810.11,43495.18,-335.71,-0.77%,624319252
04/06/2022,46341.99,46341.99,43462.55,43830.89,-2477.11,-5.35%,927413919
04/05/2022,46243.89,47055.44,45736.09,46308,56.25,+0.12%,674745444
04/04/2022,46114.07,47419.09,45241.15,46251.75,137.68,+0.30%,6623933
04/01/2022,45743.9,46520.34,44261.79,46114.07,370.17,+0.81%,729184291
03/31/2022,47246.5,47560.57,45532.8,45743.9,-1502.6,-3.18%,70751779
03/30/2022,47341.31,47617.23,46671.7,47246.5,-94.81,-0.20%,454313598
03/29/2022,47865.05,48007.02,47065.46,47341.31,-523.74,-1.09%,512982686
03/28/2022,44530.05,48062.05,44089.06,47865.05,3335,+7.49%,56721
03/25/2022,43798.41,45077.11,43401.45,44530.05,731.64,+1.67%,553314
03/24/2022,42342.4,44070.84,42250.38,43798.41,1456.01,+3.44%,403477638
03/23/2022,42529.1,42746.12,41794.49,42342.4,-196.21,-0.46%,47154491
03/22/2022,41149.65,43099.91,40948.92,42538.61,1388.96,+3.38%,4223352
03/21/2022,41550.02,42240.19,40616.15,41149.65,-400.37,-0.96%,2389307
03/18/2022,40764.32,42157.54,40331.37,41550.02,780.7,+1.91%,282255555
03/17/2022,41212.54,41328.16,40612.25,40769.32,-436.25,-1.06%,470840141
03/16/2022,39496.8,41687.21,38958.11,41205.57,1707.91,+4.32%,784141092
03/15/2022,38744.44,39897.87,38254.36,39497.66,753.22,+1.94%,384207210
03/14/2022,38817.02,39256.26,37666.62,38744.44,-72.41,-0.19%,4280077
03/11/2022,39359.49,39951.63,38417.88,38816.85,-542.64,-1.38%,525822872
03/10/2022,41870.98,42050.05,38750.5,39359.49,-2511.49,-6.00%,646970500
03/09/2022,38436.95,42363.89,38420.98,41870.98,3436.46,+8.94%,603830337
03/08/2022,37750.66,39321.36,37678.95,38434.52,683.86,+1.81%,5757757
03/07/2022,39403.67,39556.61,37295.51,37750.66,-1653.01,-4.20%,6112703
03/04/2022,41974.8,42598.13,39219.21,39403.67,-2571.13,-6.13%,519658459
03/03/2022,43918.84,44134.43,41929.66,41974.8,-1946.25,-4.43%,381770609
03/02/2022,43916.04,44919.25,43567.41,43921.05,5.01,+0.01%,584932393
03/01/2022,41613.11,44536.86,41613.09,43916.04,2302.93,+5.53%,717095526
02/28/2022,38984,41724.93,37367.62,41613.11,2629.11,+6.74%,5377988
02/25/2022,38429.33,39416.76,37986.19,38984,554.67,+1.44%,479860146
02/24/2022,37660,38603.78,34601.16,38429.33,769.33,+2.04%,911688976
