Time,Open,High,Low,Last,Change,%Chg,Volume
04/03/2023,1822.324,1841.189,1814.4,1824.848,2.524,+0.14%,60630282
03/31/2023,1795.228,1844.145,1782.588,1822.324,27.096,+1.51%,64351005
03/30/2023,1803.273,1827.112,1766.423,1795.228,-8.045,-0.45%,77899227
03/29/2023,1774.784,1824.374,1765.502,1803.273,28.489,+1.61%,91630461
03/28/2023,1707.279,1792.04,1702.463,1774.784,67.505,+3.95%,1070062
03/27/2023,1748.797,1796.516,1691.238,1707.279,-41.518,-2.37%,1050336
03/24/2023,1815.633,1818.647,1728.171,1748.797,-66.838,-3.68%,104871570
03/23/2023,1731.102,1850.985,1716.97,1815.635,84.533,+4.88%,85800530
03/22/2023,1797.109,1817.542,1711.713,1731.102,-66.008,-3.67%,99039439
03/21/2023,1757.931,1832.267,1720.001,1797.11,39.179,+2.23%,75256337
03/20/2023,1740.967,1839.399,1739.188,1757.931,16.964,+0.97%,93489
03/17/2023,1655.692,1761.267,1655.282,1740.967,85.275,+5.15%,8550937
03/16/2023,1647.513,1688.7,1633.881,1655.692,8.179,+0.50%,7300046
03/15/2023,1700.789,1715.156,1614.818,1647.513,-53.293,-3.13%,13204471
03/14/2023,1665.715,1774.852,1657.162,1700.806,35.091,+2.11%,11304479
03/13/2023,1424.699,1688.587,1410.102,1665.715,241.016,+16.92%,113829
03/10/2023,1433.333,1446.426,1374.573,1424.699,-8.637,-0.60%,11606606
03/09/2023,1552.98,1553.827,1415.993,1433.336,-119.644,-7.70%,6108430
03/08/2023,1550.935,1569.628,1543.986,1552.98,2.087,+0.13%,2534088
03/07/2023,1566.156,1582.077,1538.439,1550.893,-15.263,-0.97%,3895794
03/06/2023,1559.474,1586.941,1550.419,1566.156,6.682,+0.43%,25695
03/03/2023,1641.355,1655.209,1548.483,1559.474,-81.881,-4.99%,5780488
03/02/2023,1656.396,1676.866,1620.507,1641.355,-15.041,-0.91%,2785623
03/01/2023,1605.134,1668.46,1597.548,1656.396,51.107,+3.18%,4134901
02/28/2023,1627.101,1646.433,1597.786,1605.289,-21.814,-1.34%,3040785
02/27/2023,1603.423,1663.372,1561.482,1627.103,23.68,+1.48%,39109
02/24/2023,1644.993,1663.714,1579.136,1603.423,-41.57,-2.53%,4671261
02/23/2023,1619.596,1678.271,1618.452,1644.993,25.397,+1.57%,5300219
02/22/2023,1641.713,1664.971,1598.187,1619.596,-22.123,-1.35%,4809511
02/21/2023,1701.001,1716.063,1638.106,1641.719,-59.282,-3.49%,4338107
02/20/2023,1694.04,1721.546,1654.047,1701.001,6.961,+0.41%,33695
02/17/2023,1683.186,1720.48,1633.365,1694.04,10.854,+0.64%,6550646
02/16/2023,1665.507,1721.353,1664.466,1683.186,17.681,+1.06%,29433352
02/15/2023,1555.48,1672.507,1543.512,1665.505,110.025,+7.07%,63199542
02/14/2023,1484.816,1564.394,1484.65,1555.48,70.664,+4.76%,80334027
02/13/2023,1506.964,1547.14,1463.629,1484.816,-22.148,-1.47%,676707
02/10/2023,1540.391,1553.913,1499.369,1506.964,-33.399,-2.17%,58180151
02/09/2023,1652.589,1655.695,1532.424,1540.363,-112.226,-6.79%,56573092
02/08/2023,1667.359,1696.959,1632.002,1652.589,-14.754,-0.88%,50772393
02/07/2023,1638.419,1677.455,1606.994,1667.343,28.924,+1.77%,50572051
02/06/2023,1657.322,1694.137,1612.373,1638.419,-18.903,-1.14%,407985
02/03/2023,1638.55,1673.14,1630.074,1657.322,18.772,+1.15%,55404473
02/02/2023,1635.265,1710.656,1635.265,1638.55,3.285,+0.20%,68182075
02/01/2023,1576.495,1646.286,1560.048,1635.265,58.768,+3.73%,62836003
01/31/2023,1556.221,1602.204,1549.868,1576.497,20.276,+1.30%,38342964
01/30/2023,1599.3,1658.309,1542.745,1556.221,-42.498,-2.66%,694623
01/27/2023,1603.17,1620.937,1559.661,1598.719,-4.451,-0.28%,646313
01/26/2023,1618.427,1638.441,1578.66,1603.17,-15.253,-0.94%,79288754
01/25/2023,1599.176,1621.684,1525.483,1618.423,19.247,+1.20%,80680670
01/24/2023,1631.895,1641.133,1591.742,1599.176,-32.719,-2.00%,446228
01/23/2023,1637.237,1677.956,1602.963,1631.895,-5.342,-0.33%,506480
01/20/2023,1546.267,1644.552,1543.672,1637.237,90.974,+5.88%,41278857
01/19/2023,1528.17,1561.274,1509.512,1546.263,18.092,+1.18%,375579
01/18/2023,1581.708,1605.965,1503.219,1528.171,-53.542,-3.39%,61245652
01/17/2023,1580.238,1601.797,1547.624,1581.713,1.475,+0.09%,48680510
01/16/2023,1455.593,1598.066,1443.275,1580.238,124.645,+8.56%,587722
01/13/2023,1426.296,1459.391,1401.435,1455.593,29.297,+2.05%,38906151
01/12/2023,1342.612,1434.698,1341.703,1426.296,83.684,+6.23%,78450921
01/11/2023,1338.999,1344.718,1322.16,1342.612,3.612,+0.27%,22460213
01/10/2023,1318.172,1343.975,1315.453,1339,20.83,+1.58%,28112823
01/09/2023,1266.388,1344.282,1258.78,1318.17,51.782,+4.09%,449333
01/06/2023,1252.504,1275.32,1240.854,1266.388,13.884,+1.11%,23948693
01/05/2023,1252.659,1258.874,1243.247,1252.504,-0.155,-0.01%,14814320
01/04/2023,1211.226,1266.633,1210.221,1252.659,41.433,+3.42%,30108075
01/03/2023,1219.935,1219.988,1206.502,1211.226,-8.708,-0.71%,132849
01/02/2023,1198.013,1220.36,1191.187,1219.934,21.921,+1.83%,150015
12/30/2022,1194.998,1203.727,1185.523,1198.013,3.015,+0.25%,20472245
12/29/2022,1187.554,1205.593,1184.181,1194.998,7.444,+0.63%,19805221
12/28/2022,1211.498,1214.196,1185.068,1187.554,-23.944,-1.98%,30618200
12/27/2022,1217.04,1233.101,1203.849,1211.498,-5.542,-0.46%,19389199
12/26/2022,1221.727,1225.949,1198.925,1217.04,-4.687,-0.38%,128801
12/23/2022,1215.07,1229.09,1213.115,1221.727,6.657,+0.55%,22506481
12/22/2022,1211.61,1232.091,1184.468,1215.07,3.46,+0.29%,25536977
12/21/2022,1216.335,1219.96,1204.998,1211.61,-4.726,-0.39%,17618022
12/20/2022,1175.551,1226.481,1155.645,1216.336,40.785,+3.47%,41343127
12/19/2022,1196.515,1197.046,1160.514,1175.551,-20.964,-1.75%,285869
12/16/2022,1265.765,1278.99,1189.272,1196.515,-69.25,-5.47%,49481060
12/15/2022,1310.81,1314.454,1262.875,1265.765,-45.045,-3.44%,27977044
12/14/2022,1320.953,1348.394,1303.56,1310.81,-10.143,-0.77%,44897646
12/13/2022,1275.038,1342.999,1255.706,1320.953,45.915,+3.60%,40403874
12/12/2022,1260.024,1283.001,1241.605,1275.038,15.014,+1.19%,284331
12/09/2022,1278.456,1290.885,1257.011,1260.024,-18.432,-1.44%,30002650
12/08/2022,1232.024,1291.37,1223.871,1278.456,46.432,+3.77%,31028131
12/07/2022,1256.375,1274.875,1221.647,1232.024,-24.356,-1.94%,27352654
12/06/2022,1259.44,1269.829,1243.707,1256.38,-3.06,-0.24%,19013338
12/05/2022,1290.724,1303.804,1237.661,1259.44,-31.284,-2.42%,324787
12/02/2022,1276.324,1295.329,1266.078,1290.724,14.4,+1.13%,26633618
12/01/2022,1296.991,1305.521,1264.387,1276.324,-20.667,-1.59%,41316778
11/30/2022,1219.427,1298.727,1213.353,1296.991,77.564,+6.36%,80203510
11/29/2022,1172.99,1224.824,1159.771,1219.427,46.437,+3.96%,41273118
11/28/2022,1199.445,1227.616,1151.831,1172.99,-26.455,-2.21%,419805
11/25/2022,1196.412,1205.854,1172.075,1199.445,3.033,+0.25%,26951793
11/24/2022,1169.691,1217.326,1168.605,1196.412,26.718,+2.28%,37715535
11/23/2022,1131.343,1186.526,1126.844,1169.694,38.351,+3.39%,53558282
11/22/2022,1093.243,1139.353,1077.664,1131.343,38.102,+3.49%,72762858
11/21/2022,1209.042,1231.667,1082.052,1093.241,-115.801,-9.58%,904827
11/18/2022,1206.82,1229.988,1198.035,1209.042,2.223,+0.18%,27306420
11/17/2022,1207.299,1227.737,1184.579,1206.819,-0.48,-0.04%,46239199
11/16/2022,1247.263,1266.359,1187.994,1207.299,-39.964,-3.20%,54325870
11/15/2022,1227.491,1288.329,1216.343,1247.263,19.772,+1.61%,58232160
11/14/2022,1269.71,1292.977,1176.53,1227.491,-42.219,-3.33%,831049
11/11/2022,1324.983,1328.716,1208.763,1269.71,-55.274,-4.17%,114131348
11/10/2022,1106.92,1346.17,1077.255,1324.984,218.064,+19.70%,126020158
11/09/2022,1335.485,1343.345,1104.588,1106.92,-228.568,-17.11%,232711690
11/08/2022,1574.542,1575.472,1243.294,1335.488,-239.875,-15.23%,163085327
11/07/2022,1646.299,1663.495,1564.113,1575.363,-70.98,-4.31%,752662
11/04/2022,1540.734,1675.685,1525.816,1646.343,105.609,+6.85%,869970
11/03/2022,1508.497,1558.236,1503.756,1540.734,32.209,+2.14%,72326735
11/02/2022,1575.79,1618.372,1504.917,1508.525,-67.265,-4.27%,109436347
11/01/2022,1564.828,1609.399,1551.917,1575.79,10.686,+0.68%,83963076
